id,gtfs,alerts,trips,vehicles,fare_type,map_only,fuzzy_trips
CLACKAMAS,https://oregon-gtfs.trilliumtransit.com/gtfs_data/clackamascounty-or-us/clackamascounty-or-us--flex-v2.zip,https://developer.trimet.org/ws/v1/gtfsCache?feedId=CLACKAMAS&type=alerts&appid=8CBD14D520C6026CC7EEE56A9,,,V1,,
CTRAN,https://mail.c-tran.com/images/Google/GoogleTransitUpload.zip,https://developer.trimet.org/ws/v1/gtfsCache?feedId=CTRAN&type=alerts&appid=8CBD14D520C6026CC7EEE56A9,https://developer.trimet.org/ws/v1/gtfsCache?feedId=CTRAN&type=trips&appid=8CBD14D520C6026CC7EEE56A9,https://developer.trimet.org/ws/v1/gtfsCache?feedId=CTRAN&type=vehicles&appid=8CBD14D520C6026CC7EEE56A9,V2,,
CTRAN_FLEX,https://c-tran.com/images/Google/TheCurrent_GTFSFlex.zip,,,,V2,,
MULT,https://oregon-gtfs.trilliumtransit.com/gtfs_data/swanisland-or-us/swanisland-or-us--flex-v2.zip,,,,V1,,
RIDECONNECTION,https://oregon-gtfs.trilliumtransit.com/gtfs_data/rideconnection-or-us/rideconnection-or-us--flex-v2.zip,,,,V1,,
WASH_FLEX,https://api.us.sparelabs.com/v1/gtfs/generate/organization/6b803712-da41-4fe1-8ead-da3723ee3dad,,,,V2,,
SAM,https://oregon-gtfs.trilliumtransit.com/gtfs_data/sandy-or-us/sandy-or-us--flex-v2.zip,https://developer.trimet.org/ws/v1/gtfsCache?feedId=SAM&type=alerts&appid=8CBD14D520C6026CC7EEE56A9,,,V1,,
SMART,https://mysmartbus.com/gtfs,https://developer.trimet.org/ws/v1/gtfsCache?feedId=SMART&type=alerts&appid=8CBD14D520C6026CC7EEE56A9,https://developer.trimet.org/ws/v1/gtfsCache?feedId=SMART&type=trips&appid=8CBD14D520C6026CC7EEE56A9,https://developer.trimet.org/ws/v1/gtfsCache?feedId=SMART&type=vehicles&appid=8CBD14D520C6026CC7EEE56A9,none,,
TRIMET,https://developer.trimet.org/schedule/gtfs.zip,http://trimet.org/transweb/ws/V1/FeedSpecAlerts?includeFuture=true&suppressSystemWideAlerts=true,http://trimet.org/transweb/ws/V1/TripUpdate?n,http://trimet.org/transweb/ws/V1/VehiclePositions?n,V2,,
WAPARK,https://oregon-gtfs.trilliumtransit.com/gtfs_data/washingtonparkshuttle-or-us/washingtonparkshuttle-or-us.zip,https://developer.trimet.org/ws/v1/gtfsCache?feedId=WAPARK&type=alerts&appid=8CBD14D520C6026CC7EEE56A9,https://developer.trimet.org/ws/v1/gtfsCache?feedId=WAPARK&type=trips&appid=8CBD14D520C6026CC7EEE56A9,https://developer.trimet.org/ws/v1/gtfsCache?feedId=WAPARK&type=vehicles&appid=8CBD14D520C6026CC7EEE56A9,V1,,
# https://s3.amazonaws.com/datatools-flex/public/index.html, <<< list of feeds in datatools,,,,v1,,
# BELOW ARE, OTHER REGIONAL AGENCIES, (not in 1st RTP release),,,,,
#CANBY,https://oregon-gtfs.trilliumtransit.com/gtfs_data/canbytransit-or-us/canbytransit-or-us.zip,,,,v1,,
#CANBYFERRY,https://oregon-gtfs.trilliumtransit.com/gtfs_data/canbyferry-or-us/canbyferry-or-us.zip,,,,v1,,
#CAT,https://oregon-gtfs.trilliumtransit.com/gtfs_data/hoodriver-or-us/hoodriver-or-us.zip,,,,v1,,
#CCRIDER,https://oregon-gtfs.trilliumtransit.com/gtfs_data/columbiacounty-or-us/columbiacounty-or-us.zip,,,,v1,,
#CHERRIOTS,https://www.cherriots.org/media/doc/gtfs.zip,,,,v1,,
#MATS,https://data.trilliumtransit.com/gtfs/mountadams-wa-us/mountadams-wa-us.zip,,,,v1,,
#SCTD,http://oregon-gtfs.com/gtfs_data/sctd-or-us/sctd-or-us.zip,,,,v1,,
#SKAMANIA,https://data.trilliumtransit.com/gtfs/skamaniacounty-wa-us/skamaniacounty-wa-us.zip,,,,v1,,
#WOODBURN,https://oregon-gtfs.trilliumtransit.com/gtfs_data/woodburn-or-us/woodburn-or-us.zip,,,,v1,,
#YAMHILL,http://ycta.connexionz.net/rtt/public/resource/gtfs.zip,https://ycta.connexionz.net/rtt/public/utility/gtfsrealtime.aspx/alert,https://ycta.connexionz.net/rtt/public/utility/gtfsrealtime.aspx/tripupdate,https://ycta.connexionz.net/rtt/public/utility/gtfsrealtime.aspx/vehicleposition,v1,,
# TOO BIG - AMTRAK,https://content.amtrak.com/content/gtfs/GTFS.zip,A,T,V,V1,MO,TRUE
# FLEX,http://gtfs.gis.flix.tech/gtfs_generic_us.zip,,,,,,
# POINT,https://oregon-gtfs.trilliumtransit.com/gtfs_data/point-or-us/point-or-us.zip,,,,,,
# TILLAMOOK,https://oregon-gtfs.trilliumtransit.com/gtfs_data/tillamookcounty-or-us/tillamookcounty-or-us.zip,http://gtfs-realtime.trilliumtransit.com/gtfs-realtime/feed/tillamook-or-us/service_alerts.proto,,,,,
# NO ZIP - WAHKIAKUMFERRY,https://oregon-gtfs.trilliumtransit.com/gtfs_data/wahkiakumferry-wa-us/wahkiakumferry-wa-us.zip,,,,,,
